pelvis,shoulder,elbow,wrist,x,y,z
-1.57,-1.57,0.17999999999999994,0.25,-0.06065700193009343,-0.03390784387249125,-0.18373848126648096
-1.57,-1.57,0.17999999999999994,0.5,-0.06061681579700473,0.0165565193157688,-0.15265249520336305
-1.57,-1.57,0.17999999999999994,0.75,-0.06058400333977954,0.057761274071751745,-0.11004780995302693
-1.57,-1.57,0.17999999999999994,1.0,-0.06056060467808357,0.08714450831671681,-0.05857337849189831
-1.57,-1.57,0.17999999999999994,1.25,-0.0605480746273715,0.10287931486069463,-0.0014296316558735644
-1.57,-1.57,0.17999999999999994,1.5,-0.060547192245508294,0.10398737964307725,0.057830509148023596
-1.57,-1.57,0.17999999999999994,1.57,-0.06054905793173541,0.1016445150745277,0.07430034510444036
-1.57,-1.57,0.42999999999999994,0.0,-0.060627637684411796,0.0029667654748760583,-0.17216176065900135
-1.57,-1.57,0.42999999999999994,0.25,-0.0605874515513231,0.05343112866313618,-0.1410757745958835
-1.57,-1.57,0.42999999999999994,0.5,-0.06055463909409791,0.09463588341911902,-0.09847108934554716
-1.57,-1.57,0.42999999999999994,0.75,-0.06053124043240194,0.1240191176640842,-0.04699665788441881
-1.57,-1.57,0.42999999999999994,1.0,-0.06051871038168987,0.13975392420806182,0.010147088951606126
-1.57,-1.57,0.42999999999999994,1.25,-0.06051782799982666,0.14086198899044466,0.06940722975550317
-1.57,-1.57,0.42999999999999994,1.5,-0.060528648149042824,0.12727441790988836,0.1270992559939139
-1.57,-1.57,0.42999999999999994,1.57,-0.06053370063014099,0.12092968599510343,0.1424774504815829
-1.57,-1.57,0.6799999999999999,0.0,-0.0605612809493736,0.08629527010017726,-0.12073601895553077
-1.57,-1.57,0.6799999999999999,0.25,-0.060528468492148414,0.12750002485616022,-0.07813133370519448
-1.57,-1.57,0.6799999999999999,0.5,-0.060505069830452445,0.1568832591011253,-0.026656902244066027
-1.57,-1.57,0.6799999999999999,0.75,-0.060492539779740374,0.17261806564510312,0.03048684459195869
-1.57,-1.57,0.6799999999999999,1.0,-0.060491657397877166,0.17372613042748575,0.08974698539585599
-1.57,-1.57,0.6799999999999999,1.25,-0.06050247754709333,0.1601385593469297,0.1474390116342667
-1.57,-1.57,0.6799999999999999,1.5,-0.06052432748291713,0.13270016176289237,0.19997591254247477
-1.57,-1.57,0.6799999999999999,1.57,-0.06053225262008296,0.12274804720212375,0.21330632391122728
-1.57,-1.57,0.9299999999999999,0.0,-0.060507118695205024,0.15431036524320224,-0.050293170523679764
-1.57,-1.57,0.9299999999999999,0.25,-0.060483720033509054,0.18369359948816738,0.001181260937448636
-1.57,-1.57,0.9299999999999999,0.5,-0.060471189982796984,0.199428406032145,0.058325007773473436
-1.57,-1.57,0.9299999999999999,0.75,-0.060470307600933776,0.2005364708145279,0.11758514857737049
-1.57,-1.57,0.9299999999999999,1.0,-0.06048112775014993,0.18694889973397155,0.17527717481578137
-1.57,-1.57,0.9299999999999999,1.25,-0.060502977685973736,0.1595105021499345,0.2278140757239894
-1.57,-1.57,0.9299999999999999,1.5,-0.060534498885224115,0.1199272647284726,0.27192936126186673
-1.57,-1.57,0.9299999999999999,1.57,-0.060544803931813405,0.10698654180282532,0.28238316909759203
-1.57,-1.57,1.05,0.0,-0.06048647599493229,0.1802327579613659,-0.010973448062134739
-1.57,-1.57,1.05,0.25,-0.06046815266053922,0.20324257081374186,0.04364834496219147
-1.57,-1.57,1.05,0.5,-0.06046116023298564,0.21202342073659425,0.10226479932593274
-1.57,-1.57,1.05,0.75,-0.06046593346754955,0.2060293570110759,0.16123142780093475
-1.57,-1.57,1.05,1.0,-0.060482175587624545,0.18563306148786302,0.2168819710288458
-1.57,-1.57,1.05,1.25,-0.06050887673685181,0.15210267703473784,0.2657563477707799
-1.57,-1.57,1.05,1.5,-0.0605443767670973,0.10752296055521712,0.30481578600012044
-1.57,-1.57,1.05,1.57,-0.06055560426814048,0.093423851066648,0.3136452537004515
-1.57,-1.32,-1.57,0.0,-0.061056323356109735,-0.5353619506127931,0.3223480632744862
-1.57,-1.32,-1.57,0.25,-0.06106230633335298,-0.5428751675695975,0.26355568594883066
-1.57,-1.32,-1.57,0.5,-0.06105652037049083,-0.5356093544936038,0.20473222104488592
-1.57,-1.32,-1.57,0.75,-0.06103932521067019,-0.5140162644504839,0.14953502670355687
-1.57,-1.32,-1.57,1.0,-0.0610117899656453,-0.479438451194686,0.10139599712572106
-1.57,-1.32,-1.57,1.25,-0.06097562664358702,-0.4340257956795399,0.0633081840129277
-1.57,-1.32,-1.57,1.5,-0.060933083704706736,-0.38060183687235416,0.0376397031092055
-1.57,-1.32,-1.57,1.57,-0.06092038153282559,-0.3646508864866895,0.03291619437654525
-1.57,-1.32,-1.32,0.0,-0.061066143493042374,-0.5476937406766309,0.22520807226437964
-1.57,-1.32,-1.32,0.25,-0.06106035753018022,-0.5404279276006374,0.16638460736043487
-1.57,-1.32,-1.32,0.5,-0.06104316237035958,-0.5188348375575171,0.11118741301910583
-1.57,-1.32,-1.32,0.75,-0.06101562712533469,-0.4842570243017198,0.06304838344127
-1.57,-1.32,-1.32,1.0,-0.060979463803276415,-0.4388443687865733,0.024960570328476706
-1.57,-1.32,-1.32,1.25,-0.06093692086439613,-0.3854204099793878,-0.0007079105752456627
-1.57,-1.32,-1.32,1.5,-0.06089064342258003,-0.32730679088405407,-0.012361117450570225
-1.57,-1.32,-1.32,1.57,-0.06087740553131213,-0.3106831025257903,-0.012991454205162067
-1.57,-1.32,-1.07,0.0,-0.06105652037049083,-0.5356093544936038,0.1280369936759837
-1.57,-1.32,-1.07,0.25,-0.06103932521067019,-0.5140162644504837,0.07283979933465459
